"missing_points","mean","max","min","Estimator","diff","par"
30,0.871389125239479,0.951543020748648,0.822425077041866,"LSE",0.129117943706782,"beta"
1,0.838159263053601,0.844016209798075,0.833304088579819,"MLE",0.0107121212182557,"beta"
2,0.838026736164441,0.848544017411882,0.831093927568831,"MLE",0.0174500898430504,"beta"
3,0.838045670072981,0.847040709607564,0.831204942331698,"MLE",0.0158357672758657,"beta"
4,0.838292919342796,0.853212121604735,0.832221730386617,"MLE",0.020990391218118,"beta"
5,0.837994680339823,0.849013328216833,0.828625853427772,"MLE",0.0203874747890611,"beta"
6,0.838261250710036,0.852916330052284,0.829602429775145,"MLE",0.0233139002771391,"beta"
7,0.838538332472995,0.853493257228951,0.828735741036047,"MLE",0.0247575161929043,"beta"
8,0.839237157524839,0.849212916758481,0.828502381631975,"MLE",0.0207105351265066,"beta"
9,0.840478220342457,0.852152032256778,0.829758524866752,"MLE",0.0223935073900257,"beta"
10,0.840363535126477,0.852118201016043,0.828871311908889,"MLE",0.0232468891071533,"beta"
11,0.840574821452446,0.851631590759048,0.831420951270194,"MLE",0.0202106394888538,"beta"
12,0.838005700888294,0.862423567433193,0.823837639493783,"MLE",0.0385859279394102,"beta"
13,0.840068898068326,0.858549802942968,0.827891974966941,"MLE",0.0306578279760277,"beta"
14,0.840153816074035,0.85727042266074,0.824825734409959,"MLE",0.0324446882507811,"beta"
15,0.840720992469998,0.864177036926843,0.819413506503048,"MLE",0.044763530423795,"beta"
16,0.840545626204637,0.863371181455222,0.819147926609612,"MLE",0.0442232548456093,"beta"
17,0.840458416437591,0.854494199166706,0.82350682967219,"MLE",0.0309873694945155,"beta"
18,0.840513444433343,0.863541215276985,0.824509946071239,"MLE",0.039031269205746,"beta"
19,0.841007358253295,0.855302571463055,0.821321720311202,"MLE",0.0339808511518526,"beta"
20,0.839354861620761,0.858883154741139,0.821868565086262,"MLE",0.0370145896548768,"beta"
21,0.839708569876409,0.854925954301109,0.822393097289791,"MLE",0.032532857011318,"beta"
22,0.841067114175301,0.860446041204569,0.819844217170901,"MLE",0.0406018240336685,"beta"
23,0.839081004152126,0.857332695784473,0.818916667772881,"MLE",0.0384160280115921,"beta"
24,0.840205249986353,0.869456732338571,0.817413366884354,"MLE",0.0520433654542178,"beta"
25,0.840173269092088,0.861757572658477,0.812711125015518,"MLE",0.0490464476429594,"beta"
26,0.841048267128067,0.857741109881023,0.816296188797675,"MLE",0.0414449210833482,"beta"
27,0.839306352801228,0.868454098041055,0.819192941023013,"MLE",0.0492611570180417,"beta"
28,0.840904180977076,0.861974663862144,0.81770273872704,"MLE",0.0442719251351039,"beta"
29,0.842732023347093,0.862240820004903,0.807132550568694,"MLE",0.0551082694362086,"beta"
30,0.840768181281274,0.859117217886079,0.811273657268864,"MLE",0.0478435606172144,"beta"
1,1.14958861491973,1.15248073210352,1.14665010722952,"LSE",0.00583062487399966,"R"
2,1.14927756646097,1.15263838477302,1.14722841070509,"LSE",0.00540997406792765,"R"
3,1.14954142187633,1.15395697481779,1.14713843430437,"LSE",0.00681854051342645,"R"
4,1.14955595227538,1.15306446768308,1.14642049337008,"LSE",0.00664397431299779,"R"
5,1.14913539231821,1.15268095588401,1.14513176539914,"LSE",0.00754919048486813,"R"
6,1.15006547109361,1.15535616030366,1.14717325175768,"LSE",0.00818290854598347,"R"
7,1.14988746774939,1.15390959325128,1.14656092485727,"LSE",0.0073486683940025,"R"
8,1.14967225230531,1.1533139573852,1.14405959415759,"LSE",0.00925436322761142,"R"
9,1.14890391483309,1.15195877491196,1.14642228709299,"LSE",0.00553648781896121,"R"
10,1.14962282699786,1.15331105589988,1.14548965591753,"LSE",0.00782139998234599,"R"
11,1.14956161526439,1.15293719610048,1.14680733447616,"LSE",0.00612986162432394,"R"
12,1.14948167852564,1.1530576414737,1.14677951146323,"LSE",0.00627813001046174,"R"
13,1.14993859431636,1.15344124568231,1.14513570018864,"LSE",0.00830554549367291,"R"
14,1.14951191599671,1.15329812314237,1.14654194878357,"LSE",0.00675617435880738,"R"
15,1.14931277468006,1.15324695237489,1.14503435337278,"LSE",0.00821259900211069,"R"
16,1.149486529543,1.15419367714442,1.14655078282725,"LSE",0.00764289431717446,"R"
17,1.14966338298995,1.15403882067293,1.14477244992163,"LSE",0.00926637075130321,"R"
18,1.14942751164425,1.15576489346595,1.14644113858224,"LSE",0.00932375488371373,"R"
19,1.14979640738988,1.15441067038504,1.14525978286408,"LSE",0.0091508875209545,"R"
20,1.14977809823574,1.15561539998255,1.14599112694332,"LSE",0.0096242730392353,"R"
21,1.14907845061203,1.15451340516983,1.14443545679723,"LSE",0.0100779483725963,"R"
22,1.1492414402524,1.15342524143926,1.14591664805855,"LSE",0.0075085933807082,"R"
23,1.1493489009627,1.15620445356762,1.14438972076266,"LSE",0.0118147328049618,"R"
24,1.15010017022549,1.15361458948644,1.14509743557526,"LSE",0.00851715391118146,"R"
25,1.14930134048393,1.15565328299201,1.1453294136347,"LSE",0.0103238693573073,"R"
26,1.14958049911402,1.15398570760442,1.14418688117969,"LSE",0.00979882642472529,"R"
27,1.1494971134664,1.15500422189503,1.14453846263815,"LSE",0.010465759256878,"R"
28,1.14937780815768,1.15538766159475,1.14460944138898,"LSE",0.0107782202057711,"R"
29,1.14975601781372,1.15550516759248,1.14397888683386,"LSE",0.0115262807586112,"R"
30,1.1500918404311,1.15763164451081,1.14349261192032,"LSE",0.0141390325904962,"R"
1,1.16008019523049,1.1617814530777,1.15911581766766,"MLE",0.00266563541004605,"R"
2,1.15991969378447,1.16348222114691,1.15883473020249,"MLE",0.00464749094442118,"R"
3,1.15987607434593,1.1622897935846,1.15866908680939,"MLE",0.00362070677521675,"R"
4,1.1602965344216,1.16415543551238,1.1588573207852,"MLE",0.00529811472718178,"R"
5,1.15986356104749,1.16308605355423,1.15839651919237,"MLE",0.00468953436186315,"R"
6,1.15999260661017,1.16354232875109,1.15813570654025,"MLE",0.00540662221083865,"R"
7,1.16008112400097,1.1642107922427,1.15767078262501,"MLE",0.00654000961769396,"R"
8,1.16070136255859,1.16497510077039,1.15836509354139,"MLE",0.00661000722899807,"R"
9,1.16097991624403,1.16380661053409,1.15779449737169,"MLE",0.00601211316240446,"R"
10,1.16093784612914,1.16475766819076,1.15832102325568,"MLE",0.00643664493507545,"R"
