"missing_points","mean","max","min","Estimator","diff","par"
23,0.631712857271022,0.658036363809102,0.611107605299258,"LSE",0.046928758509844,"beta"
24,0.631190889488937,0.661263378045469,0.602941607117009,"LSE",0.05832177092846,"beta"
25,0.631335850010676,0.656829030309305,0.601996732464047,"LSE",0.054832297845258,"beta"
26,0.631853363920229,0.667811748193353,0.5911208921976,"LSE",0.076690855995753,"beta"
27,0.630019528920641,0.668007649110384,0.590564185214117,"LSE",0.077443463896267,"beta"
28,0.631701092470264,0.664660440479076,0.605708800914286,"LSE",0.05895163956479,"beta"
29,0.630738337949412,0.666477803686111,0.597340716104814,"LSE",0.069137087581297,"beta"
30,0.631932170985967,0.659746125687573,0.609809795925809,"LSE",0.049936329761764,"beta"
1,0.640192469330772,0.641014769040793,0.639260885597536,"MLE",0.00175388344325778,"beta"
2,0.640175471010455,0.641035759927369,0.63878219623833,"MLE",0.00225356368903873,"beta"
3,0.64015907573444,0.641192197504063,0.638761380961834,"MLE",0.00243081654222843,"beta"
4,0.640085292280273,0.641271462958163,0.637845585471944,"MLE",0.00342587748621959,"beta"
5,0.640064817812378,0.642407453244829,0.638741484368143,"MLE",0.00366596887668613,"beta"
6,0.640143296368178,0.643258304093477,0.638096146455224,"MLE",0.00516215763825301,"beta"
7,0.639968231828865,0.641630476587045,0.632142156096097,"MLE",0.00948832049094739,"beta"
8,0.640088925048646,0.641257889377286,0.638388151398325,"MLE",0.0028697379789604,"beta"
9,0.640201949749872,0.644194993086547,0.635788954855976,"MLE",0.00840603823057151,"beta"
10,0.640068472782667,0.64190601983741,0.63680372590554,"MLE",0.00510229393186956,"beta"
11,0.640080032441861,0.646149816390209,0.637346361533158,"MLE",0.00880345485705003,"beta"
12,0.640189599796704,0.64342603737743,0.63718095415978,"MLE",0.00624508321764938,"beta"
13,0.639959979335258,0.642131718566478,0.637480825920882,"MLE",0.00465089264559648,"beta"
14,0.640026574924274,0.645005240873598,0.63265823263105,"MLE",0.012347008242548,"beta"
15,0.640040499982034,0.642126328887217,0.634130205725052,"MLE",0.00799612316216469,"beta"
16,0.639945753991029,0.642854451513607,0.635963216675558,"MLE",0.00689123483804854,"beta"
17,0.64000409338329,0.642860384842365,0.63551121963619,"MLE",0.00734916520617457,"beta"
18,0.639958430331708,0.642228630616912,0.637159317028641,"MLE",0.00506931358827067,"beta"
19,0.639927339090798,0.643855486754458,0.632774793646012,"MLE",0.0110806931084458,"beta"
20,0.640106243667787,0.650201571952367,0.636729535574191,"MLE",0.0134720363781755,"beta"
21,0.639881013943887,0.642619314956545,0.630447969824413,"MLE",0.012171345132132,"beta"
22,0.63987518008521,0.642618911258084,0.636603800591145,"MLE",0.00601511066693883,"beta"
23,0.640084521492568,0.643185862651519,0.635417694888206,"MLE",0.00776816776331379,"beta"
24,0.640175934370909,0.643932098998825,0.635124226799986,"MLE",0.00880787219883894,"beta"
25,0.640198651077449,0.652822114111143,0.635284781534558,"MLE",0.0175373325765846,"beta"
